#/gcsv export of scid.eco
ECO,Opening,Moves
B06c,"Modern",1.e4/gg6 2.Nc3 Bg7 3.f4 d6 *
B06c,"Modern",1.e4/gg6 2.f4 *
B06c,"Modern",1.e4/gg6 2.f4 d6 *
B06c,"Modern",1.e4/gg6 2.f4 Bg7 3.Nf3 *
B06c,"Modern",1.e4/gg6 2.f4 Bg7 3.Nf3 d6 *
B06d,"Modern",1.e4/gg6 2.d4 *
B06d,"Modern:/gNorwegian Defence",1.e4 g6 2.d4 Nf6 *
B06d,"Modern:/gNorwegian Defence",1.e4 g6 2.d4 Nf6 3.e5 Nh5 4.g4 Ng7 *
B06d,"Modern",1.e4/gg6 2.d4 c6 *
B06e,"Modern",1.e4/gg6 2.d4 d6 *
B06f,"Modern",1.e4/gg6 2.d4 Bg7 *
B06f,"Modern:/g3.Bc4",1.e4 g6 2.d4 Bg7 3.Bc4 *
B06g,"Modern:/g3.c3",1.e4 g6 2.d4 Bg7 3.c3 *
B06g,"Modern:/g3.c3",1.e4 g6 2.d4 Bg7 3.c3 d6 *
B06g,"Modern:/gc3 Pterodactyl",1.e4 g6 2.d4 Bg7 3.c3 d6 4.f4 c5 *
B06h,"Modern:/gGeller System",1.e4 g6 2.d4 Bg7 3.c3 d6 4.Nf3 *
B06i,"Modern:/g3.Nf3",1.e4 g6 2.d4 Bg7 3.Nf3 *
B06j,"Modern:/g3.Nf3 d6",1.e4 g6 2.d4 Bg7 3.Nf3 d6 *
B06k,"Modern:/g3.Nf3 d6 4.Bc4",1.e4 g6 2.d4 Bg7 3.Nf3 d6 4.Bc4 *
B06l,"Modern:/g3.Nc3",1.e4 g6 2.d4 Bg7 3.Nc3 *
B06l,"Modern:/gMittenberger Gambit",1.e4 g6 2.d4 Bg7 3.Nc3 d5 *
B06l,"Modern:/gNc3 Pterodactyl",1.e4 g6 2.d4 Bg7 3.Nc3 c5 *
B06m,"Modern:/g3.Nc3",1.e4 g6 2.d4 Bg7 3.Nc3 d6 *
B06n,"Modern:/g3.Nc3 d6 4.Bc4",1.e4 g6 2.d4 Bg7 3.Nc3 d6 4.Bc4 *
B06n,"Modern:/g3.Nc3 d6 4.Bc4",1.e4 g6 2.d4 Bg7 3.Nc3 d6 4.Bc4 c6 *
B06n,"Modern:/g3.Nc3 d6 4.Bc4",1.e4 g6 2.d4 Bg7 3.Nc3 d6 4.Bc4 c6 5.Qf3 *
B06n,"Modern:/g3.Nc3 d6 4.Bc4",1.e4 g6 2.d4 Bg7 3.Nc3 d6 4.Bc4 c6 5.Qf3 Nf6 *
B06n,"Modern:/g3.Nc3 d6 4.Bc4",1.e4 g6 2.d4 Bg7 3.Nc3 d6 4.Bc4 c6 5.Qf3 e6 *
B06o,"Modern:/g3.Nc3 d6 4.Be3",1.e4 g6 2.d4 Bg7 3.Nc3 d6 4.Be3 *
B06p,"Modern:/g3.Nc3 d6 4.Be3 a6",1.e4 g6 2.d4 Bg7 3.Nc3 d6 4.Be3 a6 *
B06q,"Modern:/g3.Nc3 d6 4.Be3 c6",1.e4 g6 2.d4 Bg7 3.Nc3 d6 4.Be3 c6 *
B06r,"Modern:/gTwo Knights Variation",1.e4 g6 2.d4 Bg7 3.Nc3 d6 4.Nf3 *
B06r,"Modern:/gTwo Knights, Suttles Variation",1.e4 g6 2.d4 Bg7 3.Nc3 d6 4.Nf3 c6 *
B06r,"Modern:/gTwo Knights, Suttles, Tal Gambit",1.e4 g6 2.d4 Bg7 3.Nc3 d6 4.Nf3 c6 5.Bg5 Qb6 6.Qd2 *
B06s,"Modern:/gPseudo-Austrian Attack",1.e4 g6 2.d4 Bg7 3.Nc3 d6 4.f4 *
B06s,"Modern:/gPseudo-Austrian Attack",1.e4 g6 2.d4 Bg7 3.Nc3 d6 4.f4 c6 *
B06t,"Modern:/gPseudo-Austrian Attack",1.e4 g6 2.d4 Bg7 3.Nc3 d6 4.f4 c6 5.Nf3 *
B06t,"Modern:/gPseudo-Austrian Attack",1.e4 g6 2.d4 Bg7 3.Nc3 d6 4.f4 Nc6 *
B06u,"Modern:/gThree Pawns Attack",1.e4 g6 2.d4 Bg7 3.f4 *
B07a,"Pirc",1.e4/gd6 *
B07a,"Pirc",1.e4/gd6 2.g3 *
B07a,"Pirc",1.e4/gd6 2.c4 *
B07a,"Pirc:/g2.Nc3",1.e4 d6 2.Nc3 *
B07a,"Pirc:/g2.Nc3",1.e4 d6 2.Nc3 Nf6 *
B07b,"Pirc:/g2.Nf3",1.e4 d6 2.Nf3 *
B07b,"Pirc/Reti:/gWade Defence",1.e4 d6 2.Nf3 Bg4 *
B07b,"Pirc:/g2.Nf3 Nf6",1.e4 d6 2.Nf3 Nf6 *
B07b,"Pirc:/g2.Nf3 Nf6 3.Nc3",1.e4 d6 2.Nf3 Nf6 3.Nc3 *
B07c,"Pirc:/g2.f4",1.e4 d6 2.f4 *
B07c,"Pirc:/g2.f4 Nf6",1.e4 d6 2.f4 Nf6 *
B07c,"Pirc:/g2.f4 Nf6 3.Nc3",1.e4 d6 2.f4 Nf6 3.Nc3 *
B07c,"Pirc:/g2.f4 Nf6 3.Nc3 g6 4.Nf3 Bg7",1.e4 d6 2.f4 Nf6 3.Nc3 g6 4.Nf3 Bg7 *
B07d,"Pirc:/g2.d4",1.e4 d6 2.d4 *
B07d,"Pirc:/g2.d4 c6",1.e4 d6 2.d4 c6 *
B07d,"Pirc:/gLengfellner System",1.e4 d6 2.d4 e6 *
B07d,"Pirc:/g2.d4 Nd7",1.e4 d6 2.d4 Nd7 *
B07d,"Pirc:/g2.d4 Nf6",1.e4 d6 2.d4 Nf6 *
B07d,"Pirc:/gRoscher Gambit",1.e4 d6 2.d4 Nf6 3.Nf3 *
B07d,"Pirc:/g3.Nbd2",1.e4 d6 2.d4 Nf6 3.Nbd2 *
B07d,"Pirc:/g3.Nbd2 g6",1.e4 d6 2.d4 Nf6 3.Nbd2 g6 *
B07d,"Pirc:/g3.Nbd2 g6",1.e4 d6 2.d4 Nf6 3.Nbd2 g6 4.c3 Bg7 *
B07e,"Pirc:/g3.f3",1.e4 d6 2.d4 Nf6 3.f3 *
B07f,"Pirc:/g3.f3 e5",1.e4 d6 2.d4 Nf6 3.f3 e5 *
B07f,"Pirc:/g3.f3 e5 Queenswap",1.e4 d6 2.d4 Nf6 3.f3 e5 4.dxe5 dxe5 5.Qxd8+ *
B07f,"Pirc:/g3.f3 e5 4.d5",1.e4 d6 2.d4 Nf6 3.f3 e5 4.d5 *
B07g,"Pirc:/g3.f3 g6",1.e4 d6 2.d4 Nf6 3.f3 g6 *
B07h,"Pirc:/g3.Bd3",1.e4 d6 2.d4 Nf6 3.Bd3 *
B07h,"Pirc:/g3.Bd3 e5",1.e4 d6 2.d4 Nf6 3.Bd3 e5 *
B07h,"Pirc:/g3.Bd3 e5 4.c3 d5",1.e4 d6 2.d4 Nf6 3.Bd3 e5 4.c3 d5 *
B07h,"Pirc:/g3.Bd3 e5 4.c3 d5",1.e4 d6 2.d4 Nf6 3.Bd3 e5 4.c3 d5 5.dxe5 dxe4 *
B07h,"Pirc:/g3.Bd3 e5 4.c3 d5",1.e4 d6 2.d4 Nf6 3.Bd3 e5 4.c3 d5 5.dxe5 Nxe4 *
B07i,"Pirc:/g3.Bd3 g6",1.e4 d6 2.d4 Nf6 3.Bd3 g6 *
B07i,"Pirc:/g3.Bd3 g6",1.e4 d6 2.d4 Nf6 3.Bd3 g6 4.Nf3 *
B07i,"Pirc:/g3.Bd3 g6",1.e4 d6 2.d4 Nf6 3.Bd3 g6 4.Nf3 Bg7 *
B07j,"Pirc:/g3.Bd3 g6 4.Nf3 Bg7 5.c3",1.e4 d6 2.d4 Nf6 3.Bd3 g6 4.Nf3 Bg7 5.c3 *
B07k,"Pirc:/g3.Nc3",1.e4 d6 2.d4 Nf6 3.Nc3 *
B07l,"Pirc:/g3.Nc3 Nbd7",1.e4 d6 2.d4 Nf6 3.Nc3 Nbd7 *
B07m,"Pirc:/g3.Nc3 e5",1.e4 d6 2.d4 Nf6 3.Nc3 e5 *
B07m,"Pirc:/g3.Nc3 e5 Queenswap",1.e4 d6 2.d4 Nf6 3.Nc3 e5 4.dxe5 dxe5 5.Qxd8+ *
B07n,"Pirc:/gPytel/Czech",1.e4 d6 2.d4 Nf6 3.Nc3 c6 *
B07o,"Pirc:/gCzech, 4.Nf3",1.e4 d6 2.d4 Nf6 3.Nc3 c6 4.Nf3 *
B07p,"Pirc:/gCzech, 4.f4",1.e4 d6 2.d4 Nf6 3.Nc3 c6 4.f4 *
B07p,"Pirc:/gCzech, 4.f4 Qa5",1.e4 d6 2.d4 Nf6 3.Nc3 c6 4.f4 Qa5 *
B07q,"Pirc:/g3...g6",1.e4 d6 2.d4 Nf6 3.Nc3 g6 *
B07q,"Pirc:/g3...g6",1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.h4 *
B07q,"Pirc:/g4.Nge2",1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.Nge2 *
B07q,"Pirc:/g4.Nge2",1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.Nge2 Bg7 *
B07r,"Pirc:/gSveshnikov (4.g3)",1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.g3 *
B07r,"Pirc:/gSveshnikov (4.g3)",1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.g3 Bg7 *
B07r,"Pirc:/gSveshnikov (4.g3)",1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.g3 Bg7 5.Bg2 c6 *
B07s,"Pirc:/gHolmov (4.Bc4)",1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.Bc4 *
B07s,"Pirc:/gHolmov (4.Bc4)",1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.Bc4 Bg7 *
B07t,"Pirc:/g4.Be3",1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.Be3 *
B07t,"Pirc:/g4.Be3 c6",1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.Be3 c6 *
B07u,"Pirc:/g4.Be3 Bg7",1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.Be3 Bg7 *
B07u,"Pirc:/g4.Be3, 150 Attack",1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.Be3 Bg7 5.Qd2 *
B07v,"Pirc:/g4.Be3, 150 Attack",1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.Be3 Bg7 5.Qd2 c6 *
B07v,"Pirc:/g4.Be3, 150 Attack",1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.Be3 Bg7 5.Qd2 c6 6.f3 b5 *
B07w,"Pirc:/gByrne 4.Bg5",1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.Bg5 *
B07x,"Pirc:/g4.Bg5 Bg7",1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.Bg5 Bg7 *
B07y,"Pirc:/g4.Be2",1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.Be2 *
B07y,"Pirc:/g4.Be2",1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.Be2 Bg7 *
B07y,"Pirc:/gChinese Variation",1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.Be2 Bg7 5.g4 *
B07z,"Pirc:/gBayonet/Mariotti Attack",1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.Be2 Bg7 5.h4 *
B08a,"Pirc:/gClassical",1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.Nf3 *
B08a,"Pirc:/gClassical",1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.Nf3 Bg7 *
B08b,"Pirc:/gClassical, 5.h3",1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.Nf3 Bg7 5.h3 *
B08b,"Pirc:/gClassical, 5.h3",1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.Nf3 Bg7 5.h3 c6 *
B08b,"Pirc:/gClassical, 5.h3",1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.Nf3 Bg7 5.h3 O-O *
B08c,"Pirc:/gClassical, Spassky System",1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.Nf3 Bg7 5.h3 O-O 6.Be3 *
B08c,"Pirc:/gClassical, Spassky System, 6...d5",1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.Nf3 Bg7 5.h3 O-O 6.Be3 d5 *
B08d,"Pirc:/gClassical, Spassky System, 6...a6",1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.Nf3 Bg7 5.h3 O-O 6.Be3 a6 *
B08e,"Pirc:/gClassical, Spassky System, 6...c6",1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.Nf3 Bg7 5.h3 O-O 6.Be3 c6 *
B08f,"Pirc:/gClassical, 5.a4",1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.Nf3 Bg7 5.a4 *
B08f,"Pirc:/gClassical, 5.a4 c6",1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.Nf3 Bg7 5.a4 c6 *
B08g,"Pirc:/gClassical, 5.Bc4",1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.Nf3 Bg7 5.Bc4 *
B08g,"Pirc:/gClassical, 5.Bc4 c6",1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.Nf3 Bg7 5.Bc4 c6 *
B08h,"Pirc:/gClassical, 5.Be3",1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.Nf3 Bg7 5.Be3 *
B08h,"Pirc:/gClassical, 5.Be3 a6 6.a4",1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.Nf3 Bg7 5.Be3 a6 6.a4 *
B08i,"Pirc:/gClassical, 5.Be3 c6",1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.Nf3 Bg7 5.Be3 c6 *
B08j,"Pirc:/gClassical, 5.Be2",1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.Nf3 Bg7 5.Be2 *
B08j,"Pirc:/gClassical, 5.Be2 a6 6.a4",1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.Nf3 Bg7 5.Be2 a6 6.a4 *
B08k,"Pirc:/gClassical, 5.Be2 c6",1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.Nf3 Bg7 5.Be2 c6 *
B08l,"Pirc:/gClassical, 5.Be2 O-O",1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.Nf3 Bg7 5.Be2 O-O *
B08m,"Pirc:/gClassical, 5.Be2 O-O 6.Be3",1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.Nf3 Bg7 5.Be2 O-O 6.Be3 *
B08n,"Pirc:/gClassical, 5.Be2 O-O 6.O-O",1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.Nf3 Bg7 5.Be2 O-O 6.O-O *
B08o,"Pirc:/gClassical, 5.Be2 O-O 6.O-O Nc6",1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.Nf3 Bg7 5.Be2 O-O 6.O-O Nc6 *
B08p,"Pirc:/gClassical, 5.Be2 O-O 6.O-O c6",1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.Nf3 Bg7 5.Be2 O-O 6.O-O c6 *
B08q,"Pirc:/gClassical, 5.Be2 O-O 6.O-O c6 7.h3",1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.Nf3 Bg7 5.Be2 O-O 6.O-O c6 7.h3 *
B08r,"Pirc:/gClassical, 5.Be2 O-O 6.O-O c6 7.a4",1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.Nf3 Bg7 5.Be2 O-O 6.O-O c6 7.a4 *
B08s,"Pirc:/gClassical, 5.Be2 O-O 6.O-O c6 7.a4 Nbd7",1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.Nf3 Bg7 5.Be2 O-O 6.O-O c6 7.a4 Nbd7 *
B08t,"Pirc:/gClassical, 5.Be2 O-O 6.O-O Bg4",1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.Nf3 Bg7 5.Be2 O-O 6.O-O Bg4 *
B08u,"Pirc:/gClassical, 5.Be2 O-O 6.O-O Bg4 7.Be3 Nc6 8.Qd2",1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.Nf3 Bg7 5.Be2 O-O 6.O-O Bg4 7.Be3 Nc6 8.Qd2 *
B08v,"Pirc:/gClassical, 5.Be2 O-O 6.O-O Bg4 7.Be3 Nc6 8.Qd2 e5",1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.Nf3 Bg7 5.Be2 O-O 6.O-O Bg4 7.Be3 Nc6 8.Qd2 e5 *
B09a,"Pirc:/gAustrian Attack",1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.f4 *
B09b,"Pirc:/gAustrian Attack",1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.f4 Bg7 *
B09c,"Pirc:/gAustrian, Ljubojevic Variation",1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.f4 Bg7 5.Bc4 *
B09d,"Pirc:/gAustrian, 5.Nf3",1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.f4 Bg7 5.Nf3 *
B09e,"Pirc:/gAustrian, 5...O-O",1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.f4 Bg7 5.Nf3 O-O *
B09f,"Pirc:/gAustrian, 5...O-O 6.e5",1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.f4 Bg7 5.Nf3 O-O 6.e5 *
B09g,"Pirc:/gAustrian, 5...O-O 6.Be3",1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.f4 Bg7 5.Nf3 O-O 6.Be3 *
B09h,"Pirc:/gAustrian, 5...O-O 6.Be2",1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.f4 Bg7 5.Nf3 O-O 6.Be2 *
B09i,"Pirc:/gAustrian, 5...O-O 6.Bd3",1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.f4 Bg7 5.Nf3 O-O 6.Bd3 *
B09j,"Pirc:/gAustrian, 5...O-O 6.Bd3 Nc6",1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.f4 Bg7 5.Nf3 O-O 6.Bd3 Nc6 *
B09k,"Pirc:/gAustrian, 5...O-O 6.Bd3 Nc6 7.e5",1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.f4 Bg7 5.Nf3 O-O 6.Bd3 Nc6 7.e5 *
B09l,"Pirc:/gAustrian, 5...O-O 6.Bd3 Na6",1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.f4 Bg7 5.Nf3 O-O 6.Bd3 Na6 *
B09m,"Pirc:/gAustrian, 5...O-O 6.Bd3 Na6 7.O-O c5",1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.f4 Bg7 5.Nf3 O-O 6.Bd3 Na6 7.O-O c5 *
B09m,"Pirc:/gAustrian, 5...O-O 6.Bd3 Na6 7.O-O c5 8.d5",1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.f4 Bg7 5.Nf3 O-O 6.Bd3 Na6 7.O-O c5 8.d5 *
B09n,"Pirc:/gAustrian, 5...O-O 6.Bd3 Na6 7.O-O c5 8.d5 Bg4",1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.f4 Bg7 5.Nf3 O-O 6.Bd3 Na6 7.O-O c5 8.d5 Bg4 *
B09o,"Pirc:/gAustrian, 5...c5",1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.f4 Bg7 5.Nf3 c5 *
B09p,"Pirc:/gAustrian, 5...c5 6.dxc5",1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.f4 Bg7 5.Nf3 c5 6.dxc5 *
B09q,"Pirc:/gAustrian, 5...c5 6.dxc5 Qa5 7.Bd3",1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.f4 Bg7 5.Nf3 c5 6.dxc5 Qa5 7.Bd3 *
B09r,"Pirc:/gAustrian, 5...c5 6.Bb5+",1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.f4 Bg7 5.Nf3 c5 6.Bb5+ *
B09s,"Pirc:/gAustrian, 5...c5 6.Bb5+",1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.f4 Bg7 5.Nf3 c5 6.Bb5+ Bd7 *
B09t,"Pirc:/gAustrian, 5...c5 6.Bb5+ Bd7 7.e5",1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.f4 Bg7 5.Nf3 c5 6.Bb5+ Bd7 7.e5 *
B09u,"Pirc:/gAustrian, 5...c5 6.Bb5+ Bd7 7.e5 Ng4",1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.f4 Bg7 5.Nf3 c5 6.Bb5+ Bd7 7.e5 Ng4 *
B09v,"Pirc:/gAustrian, 5...c5 6.Bb5+ Bd7 7.e5 Ng4 8.Bxd7+",1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.f4 Bg7 5.Nf3 c5 6.Bb5+ Bd7 7.e5 Ng4 8.Bxd7+ *
B09w,"Pirc:/gAustrian, 5...c5 6.Bb5+ Bd7 7.e5 Ng4 8.e6",1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.f4 Bg7 5.Nf3 c5 6.Bb5+ Bd7 7.e5 Ng4 8.e6 *
B09w,"Pirc:/gAustrian, 5...c5, Seirawan Variation",1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.f4 Bg7 5.Nf3 c5 6.Bb5+ Bd7 7.e5 Ng4 8.e6 fxe6 *
B09x,"Pirc:/gAustrian, 5...c5 6.Bb5+ Bd7 7.e5 Ng4 8.e6 Bxb5",1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.f4 Bg7 5.Nf3 c5 6.Bb5+ Bd7 7.e5 Ng4 8.e6 Bxb5 *
B10a,"Caro-Kann",1.e4/gc6 *
B10a,"Caro-Kann:/g2.Ne2",1.e4 c6 2.Ne2 *
B10a,"Caro-Kann:/g2.f4",1.e4 c6 2.f4 *
B10b,"Caro-Kann:/gBreyer Variation",1.e4 c6 2.d3 *
B10b,"Caro-Kann:/gBreyer Variation",1.e4 c6 2.d3 d5 *
B10c,"Caro-Kann:/gBreyer, 3.Nd2",1.e4 c6 2.d3 d5 3.Nd2 *
B10d,"Caro-Kann:/gBreyer, 3.Nd2 g6",1.e4 c6 2.d3 d5 3.Nd2 g6 *
B10e,"Caro-Kann:/gBreyer, 3.Nd2 e5",1.e4 c6 2.d3 d5 3.Nd2 e5 *
B10f,"Caro-Kann:/gBreyer, Main Line",1.e4 c6 2.d3 d5 3.Nd2 e5 4.Ngf3 Bd6 5.g3 *
B10g,"Caro-Kann:/gEnglish Variation",1.e4 c6 2.c4 *
B10h,"Caro-Kann:/gEnglish Variation",1.e4 c6 2.c4 e5 *
B10i,"Caro-Kann:/gEnglish Variation",1.e4 c6 2.c4 d5 *
B10i,"Caro-Kann:/gEnglish Variation",1.e4 c6 2.c4 d5 3.cxd5 *
B10i,"Caro-Kann:/gEnglish Variation",1.e4 c6 2.c4 d5 3.cxd5 cxd5 *
B10i,"Caro-Kann:/gEnglish Variation",1.e4 c6 2.c4 d5 3.exd5 *
B10i,"Caro-Kann:/gEnglish Variation",1.e4 c6 2.c4 d5 3.exd5 cxd5 *
B10j,"Caro-Kann:/gEnglish, Exchange",1.e4 c6 2.c4 d5 3.exd5 cxd5 4.cxd5 *
B10k,"Caro-Kann:/gEnglish, Exchange, 4...Nf6",1.e4 c6 2.c4 d5 3.exd5 cxd5 4.cxd5 Nf6 *
B10l,"Caro-Kann:/gEnglish, Exchange, 4...Nf6 5.Bb5+",1.e4 c6 2.c4 d5 3.exd5 cxd5 4.cxd5 Nf6 5.Bb5+ *
B10m,"Caro-Kann:/gEnglish, Exchange, 4...Nf6 5.Nc3",1.e4 c6 2.c4 d5 3.exd5 cxd5 4.cxd5 Nf6 5.Nc3 *
B10n,"Caro-Kann:/gEnglish, Exchange, 4...Nf6 5.Nc3 Nxd5",1.e4 c6 2.c4 d5 3.exd5 cxd5 4.cxd5 Nf6 5.Nc3 Nxd5 *
B10o,"Caro-Kann:/g2.Nf3",1.e4 c6 2.Nf3 *
B10p,"Caro-Kann:/g2.Nc3",1.e4 c6 2.Nc3 *
B10q,"Caro-Kann:/g2.Nc3 d5",1.e4 c6 2.Nc3 d5 *
B10r,"Caro-Kann:/gGoldman/Spielmann",1.e4 c6 2.Nc3 d5 3.Qf3 *
B10s,"Caro-Kann:/gTwo Knights Variation",1.e4 c6 2.Nc3 d5 3.Nf3 *
B10t,"Caro-Kann:/gTwo Knights, 3...dxe4",1.e4 c6 2.Nc3 d5 3.Nf3 dxe4 *
B10t,"Caro-Kann:/gHector Gambit",1.e4 c6 2.Nc3 d5 3.Nf3 dxe4 4.Ng5 *
B10u,"Caro-Kann:/gTwo Knights, 3...dxe4 4.Nxe4",1.e4 c6 2.Nc3 d5 3.Nf3 dxe4 4.Nxe4 *
B10v,"Caro-Kann:/gTwo Knights, 3...dxe4 4.Nxe4 Nf6",1.e4 c6 2.Nc3 d5 3.Nf3 dxe4 4.Nxe4 Nf6 *
B11a,"Caro-Kann:/gTwo Knights, 3...Bg4",1.e4 c6 2.Nc3 d5 3.Nf3 Bg4 *
B11b,"Caro-Kann:/gTwo Knights, 3...Bg4 4.h3",1.e4 c6 2.Nc3 d5 3.Nf3 Bg4 4.h3 *
B11b,"Caro-Kann:/gTwo Knights, 3...Bg4 4.h3 Bh5",1.e4 c6 2.Nc3 d5 3.Nf3 Bg4 4.h3 Bh5 *
B11c,"Caro-Kann:/gTwo Knights, 3...Bg4 4.h3 Bh5, 7.g4 Bg6",1.e4 c6 2.Nc3 d5 3.Nf3 Bg4 4.h3 Bh5 5.exd5 cxd5 6.Bb5+ Nc6 7.g4 Bg6 *
B11d,"Caro-Kann:/gTwo Knights, 3...Bg4 4.h3 Bxf3",1.e4 c6 2.Nc3 d5 3.Nf3 Bg4 4.h3 Bxf3 *
B11d,"Caro-Kann:/gTwo Knights, 3...Bg4 4.h3 Bxf3 5.Qxf3",1.e4 c6 2.Nc3 d5 3.Nf3 Bg4 4.h3 Bxf3 5.Qxf3 *
B11e,"Caro-Kann:/gTwo Knights, 3...Bg4 4.h3 Bxf3 5.Qxf3 dxe4",1.e4 c6 2.Nc3 d5 3.Nf3 Bg4 4.h3 Bxf3 5.Qxf3 dxe4 *
B11e,"Caro-Kann:/gTwo Knights, 3...Bg4 4.h3 Bxf3 5.Qxf3 dxe4",1.e4 c6 2.Nc3 d5 3.Nf3 Bg4 4.h3 Bxf3 5.Qxf3 dxe4 6.Nxe4 *
B11f,"Caro-Kann:/gTwo Knights, 3...Bg4 4.h3 Bxf3 5.Qxf3 Nf6",1.e4 c6 2.Nc3 d5 3.Nf3 Bg4 4.h3 Bxf3 5.Qxf3 Nf6 *
B11g,"Caro-Kann:/gTwo Knights, 3...Bg4 4.h3 Bxf3 5.Qxf3 e6",1.e4 c6 2.Nc3 d5 3.Nf3 Bg4 4.h3 Bxf3 5.Qxf3 e6 *
B11h,"Caro-Kann:/gTwo Knights, 3...Bg4 4.h3 Bxf3 5.Qxf3 e6 6.d4",1.e4 c6 2.Nc3 d5 3.Nf3 Bg4 4.h3 Bxf3 5.Qxf3 e6 6.d4 *
B11i,"Caro-Kann:/gTwo Knights, 3...Bg4 4.h3 Bxf3 5.Qxf3 e6 6.g3",1.e4 c6 2.Nc3 d5 3.Nf3 Bg4 4.h3 Bxf3 5.Qxf3 e6 6.g3 *
B11i,"Caro-Kann:/gTwo Knights, 3...Bg4 4.h3 Bxf3 5.Qxf3 e6 6.g3 Nf6",1.e4 c6 2.Nc3 d5 3.Nf3 Bg4 4.h3 Bxf3 5.Qxf3 e6 6.g3 Nf6 *
B11j,"Caro-Kann:/gTwo Knights, 3...Bg4 4.h3 Bxf3 5.Qxf3 e6 6.d3",1.e4 c6 2.Nc3 d5 3.Nf3 Bg4 4.h3 Bxf3 5.Qxf3 e6 6.d3 *
